no,Row_Num,Customer_ID,Product,First_Transaction,Last_Transaction,Average_Transaction_Amount,Count_Transaction,Year_First_Transaction,Year_Last_Transaction,is_churn,Year_Diff
1,1,29531,Jaket,2016-06-19 02:44:34.395999908,2018-10-05 05:48:02.608000040,1467681,22,2016,2018,False,2
2,2,29531,Sepatu,2014-07-23 01:02:11.493999958,2018-12-25 11:02:41.269999981,1269337,41,2014,2018,False,4
3,3,141526,Tas,2017-04-28 03:12:27.000000000,2019-01-24 09:40:02.000000000,310915,30,2017,2019,False,2
4,4,141526,Jaket,2017-04-28 06:52:52.546999931,2019-01-16 13:00:03.911000013,722632,27,2017,2019,False,2
5,5,37545,Sepatu,2015-04-16 10:01:38.530999899,2018-11-22 12:53:41.529999970,1775036,25,2015,2018,False,3
6,6,37545,Tas,2018-02-21 13:20:58.000000000,2018-11-23 16:09:07.000000000,298375,22,2018,2018,False,0
7,7,65342,Sepatu,2016-02-05 07:58:54.434000015,2018-11-23 10:16:42.657000065,2128787,71,2016,2018,False,2
8,8,40717,Sepatu,2015-03-12 09:59:51.562000036,2018-08-24 02:06:56.984999895,894521,21,2015,2018,False,3
9,9,39435,Sepatu,2015-02-12 10:36:00.638000011,2018-10-31 15:14:09.398000002,2204904,124,2015,2018,False,3
10,10,25636,Sepatu,2014-07-13 10:56:48.681999922,2018-12-20 06:52:57.859999895,1213485,89,2014,2018,False,4
11,11,25436,Sepatu,2014-02-10 04:19:29.556999922,2017-07-10 13:06:00.290999889,1037207,21,2014,2017,True,3
12,12,35111,Sepatu,2014-12-02 03:12:43.624000072,2018-03-07 06:17:54.549999952,669514,27,2014,2018,True,4
13,13,119476,Jaket,2017-03-28 03:26:37.844000101,2018-12-19 13:22:27.591000080,1704460,23,2017,2018,False,1
14,14,119476,Sepatu,2017-06-09 02:46:17.030999899,2018-12-30 03:48:42.263999939,1567814,30,2017,2018,False,1
15,15,146582,Jaket,2017-05-16 05:21:01.178999901,2018-07-17 04:49:05.665999889,298824,22,2017,2018,True,1
16,16,146582,Tas,2017-11-08 11:41:00.000000000,2019-01-31 06:00:35.000000000,290419,25,2017,2019,False,2
17,17,55466,Jaket,2016-02-09 12:27:22.957999945,2018-12-15 15:42:33.361999989,636218,43,2016,2018,False,2
18,18,55466,Sepatu,2015-12-10 23:53:39.911999941,2018-12-12 03:08:38.693000078,897701,50,2015,2018,False,3
19,19,1036,Sepatu,2013-11-25 04:59:32.351000071,2019-01-10 16:49:52.772000074,1478112,43,2013,2019,False,6
20,20,104516,Jaket,2016-11-10 15:26:46.233999968,2018-09-30 06:06:02.812000036,294512,25,2016,2018,False,2
21,21,140462,Sepatu,2017-06-29 07:47:54.328000069,2018-09-13 05:46:15.798000097,2348091,22,2017,2018,False,1
22,22,136590,Sepatu,2017-05-02 02:40:03.153000116,2018-10-17 13:53:21.105000019,1463618,48,2017,2018,False,1
23,23,34736,Sepatu,2014-12-10 01:12:56.342999935,2018-12-15 01:02:27.941999912,1453799,93,2014,2018,False,4
24,24,30446,Sepatu,2014-08-07 00:54:14.811000109,2019-01-12 11:02:18.513999938,1674544,30,2014,2019,False,5
25,25,40931,Jaket,2017-02-09 05:02:46.641999960,2018-12-12 22:36:06.813999891,796017,22,2017,2018,False,1
26,26,40931,Sepatu,2016-01-29 07:26:35.066999911,2018-05-25 11:53:37.568000078,3473946,25,2016,2018,True,2
27,27,244201,Sepatu,2017-12-26 15:45:34.565000057,2018-11-25 01:10:43.045000076,1080289,32,2017,2018,False,1
28,28,11239,Jaket,2015-02-27 15:49:43.553999901,2019-01-31 12:39:32.108000040,715855,47,2015,2019,False,4
29,29,11239,Tas,2017-02-22 00:05:43.000000000,2019-01-27 14:37:56.000000000,537753,70,2017,2019,False,2
30,30,11239,Sepatu,2013-09-16 12:42:31.499000072,2019-01-28 13:07:27.857000113,956802,347,2013,2019,False,6
31,31,27580,Sepatu,2015-08-06 07:59:24.598000050,2019-01-15 05:42:32.493999958,2562535,114,2015,2019,False,4
32,32,47972,Sepatu,2015-06-24 05:34:28.020999908,2018-12-29 09:23:17.407000065,1130421,31,2015,2018,False,3
33,33,91757,Sepatu,2016-08-15 05:03:03.959000111,2017-05-08 07:20:47.756999969,918079,32,2016,2017,True,1
34,34,91757,Jaket,2016-09-27 11:29:25.595000029,2019-01-09 11:59:53.953000069,440078,50,2016,2019,False,3
35,35,91757,Tas,2017-05-11 04:34:08.000000000,2019-01-26 15:38:52.000000000,370796,27,2017,2019,False,2
36,36,178936,Sepatu,2017-09-19 12:12:14.605999947,2019-01-24 04:03:11.164999962,1334641,30,2017,2019,False,2
37,37,125176,Sepatu,2017-04-09 13:42:32.052000046,2019-01-10 07:32:27.979000092,1415480,38,2017,2019,False,2
38,38,17255,Jaket,2016-03-14 09:29:33.874000072,2018-09-16 10:33:51.140000105,974892,21,2016,2018,False,2
39,39,17255,Sepatu,2014-01-01 04:32:55.437999964,2018-10-20 14:02:45.450000048,1116061,124,2014,2018,False,4
40,40,41596,Jaket,2015-05-08 11:19:12.803999901,2018-10-27 16:53:56.707000017,594384,49,2015,2018,False,3
41,41,41596,Sepatu,2015-11-10 14:36:29.545000076,2018-12-08 11:25:45.986999989,2911843,36,2015,2018,False,3
42,42,70462,Jaket,2016-11-24 13:53:05.950000048,2019-01-14 13:59:46.714999914,4281832,23,2016,2019,False,3
43,43,131410,Jaket,2017-03-17 12:34:38.601999998,2018-11-21 07:28:02.892999887,524890,63,2017,2018,False,1
44,44,131410,Tas,2017-10-11 06:12:07.808000088,2018-04-05 06:49:21.000000000,122255,23,2017,2018,True,1
45,45,31771,Sepatu,2014-09-05 14:16:30.007999897,2018-10-25 01:56:43.775000095,2511532,30,2014,2018,False,4
46,46,80461,Sepatu,2016-07-07 06:46:00.733000040,2018-04-05 00:13:35.039000034,457981,21,2016,2018,True,2
47,47,57224,Sepatu,2015-11-09 13:17:18.930999994,2018-12-21 12:05:54.378999949,1820923,31,2015,2018,False,3
48,48,46970,Sepatu,2016-01-13 11:20:36.823999882,2018-12-19 01:57:48.604000092,923735,25,2016,2018,False,2
49,49,27736,Sepatu,2014-08-29 10:55:42.632999897,2018-05-30 07:10:23.997999907,1119539,59,2014,2018,True,4
50,50,333131,Jaket,2018-03-08 06:10:15.559000015,2018-11-18 04:28:07.118000031,693571,25,2018,2018,False,0
51,51,333131,Sepatu,2018-02-26 11:04:47.503000020,2019-01-22 08:04:42.651999950,2880669,71,2018,2019,False,1
52,52,29632,Sepatu,2015-11-21 22:40:14.122999907,2018-08-07 04:06:23.562999964,888700,146,2015,2018,False,3
53,53,47878,Sepatu,2015-06-29 05:23:19.032999992,2019-02-01 11:37:49.334000111,1227433,23,2015,2019,False,4
54,54,42706,Sepatu,2015-09-15 21:28:23.141999960,2018-09-26 08:42:41.480000019,2669460,31,2015,2018,False,3
55,55,76625,Tas,2017-04-16 05:50:14.000000000,2018-12-18 08:18:14.000000000,429554,30,2017,2018,False,1
56,56,76856,Sepatu,2016-05-17 11:28:13.059999943,2018-03-11 06:37:37.946000099,1228697,68,2016,2018,True,2
57,57,76856,Tas,2017-03-01 13:32:27.000000000,2018-04-13 11:34:00.000000000,339520,96,2017,2018,True,1
58,58,76856,Jaket,2016-05-13 12:45:15.779999971,2018-03-26 08:02:17.517999887,778318,32,2016,2018,True,2
59,59,108361,Sepatu,2016-11-24 09:21:53.733999968,2019-02-01 04:47:58.650000095,1626921,108,2016,2019,False,3
60,60,31721,Sepatu,2015-01-13 05:29:50.211999893,2019-01-21 17:48:08.556999922,932069,117,2015,2019,False,4
61,61,160808,Jaket,2017-09-14 17:01:55.921999931,2018-12-18 10:02:33.569999933,866938,34,2017,2018,False,1
62,62,159328,Sepatu,2017-12-12 10:05:59.822000027,2018-10-13 06:41:54.992000103,1452375,32,2017,2018,False,1
63,63,25624,Sepatu,2014-07-14 01:10:20.552000046,2019-01-31 07:40:53.209000111,1517890,101,2014,2019,False,5
64,64,85439,Sepatu,2016-07-04 02:32:26.198999882,2017-09-30 01:53:07.246999979,1073036,21,2016,2017,True,1
65,65,64809,Sepatu,2016-02-11 02:02:39.604000092,2019-01-19 05:31:07.526999950,2517860,70,2016,2019,False,3
66,66,41227,Sepatu,2015-03-24 23:15:24.578999996,2017-05-23 22:32:16.385999918,1906283,38,2015,2017,True,2
67,67,65461,Jaket,2016-02-11 05:02:11.756000042,2018-12-19 12:35:20.174999952,515486,22,2016,2018,False,2
68,68,146923,Sepatu,2017-05-18 11:29:49.140000105,2018-01-05 10:43:47.355000019,759229,103,2017,2018,True,1
69,69,146923,Tas,2017-05-24 11:31:25.000000000,2019-02-01 05:36:47.000000000,272758,80,2017,2019,False,2
70,70,146923,Jaket,2017-05-17 10:39:30.780999899,2018-12-15 12:11:49.072999954,630706,44,2017,2018,False,1
71,71,131480,Tas,2017-03-21 05:57:44.000000000,2018-12-27 02:57:12.000000000,361412,36,2017,2018,False,1
72,72,136640,Jaket,2018-06-15 04:03:59.852999926,2019-01-29 09:06:00.430000067,437308,32,2018,2019,False,1
73,73,161514,Sepatu,2017-07-08 12:28:51.562999964,2018-04-13 03:15:34.921000004,1183061,32,2017,2018,True,1
74,74,119559,Jaket,2017-03-14 09:20:44.632999897,2018-09-06 05:00:05.519999981,1122218,23,2017,2018,False,1
75,75,77388,Jaket,2016-05-17 14:00:28.391999960,2019-01-20 07:40:15.309000015,871808,25,2016,2019,False,3
76,76,77388,Sepatu,2016-07-29 13:14:10.381999969,2018-12-31 14:23:06.677999973,1999580,23,2016,2018,False,2
77,77,181428,Sepatu,2017-09-23 11:40:13.904999971,2018-12-10 22:23:16.732000113,1238485,75,2017,2018,False,1
78,78,47886,Sepatu,2015-06-23 03:56:31.614000082,2018-11-23 01:52:51.115000010,3232480,37,2015,2018,False,3
79,79,47886,Jaket,2015-10-11 02:40:32.515000105,2018-11-11 15:12:25.931999922,1690090,22,2015,2018,False,3
80,80,152320,Sepatu,2017-07-03 03:03:43.661000013,2018-02-11 06:03:46.017999887,1971483,57,2017,2018,True,1
81,81,28239,Sepatu,2014-06-17 01:23:34.960999966,2019-01-29 08:29:51.441999912,1362212,32,2014,2019,False,5
82,82,49377,Jaket,2015-09-30 13:00:04.104000092,2019-01-29 16:59:47.480999947,819859,26,2015,2019,False,4
83,83,49377,Sepatu,2015-07-10 21:07:58.362999916,2018-11-06 13:02:29.940999985,1361507,52,2015,2018,False,3
84,84,32456,Sepatu,2014-09-24 04:31:24.292000055,2019-01-17 01:47:50.987999916,1470060,96,2014,2019,False,5
85,85,28993,Sepatu,2014-07-30 00:27:48.236000061,2018-05-31 08:31:05.244999886,1450099,30,2014,2018,True,4
86,86,5377,Sepatu,2013-07-01 04:30:17.134000063,2017-03-27 03:59:38.469000101,1460720,38,2013,2017,True,4
87,87,29812,Jaket,2016-01-31 12:42:45.892999887,2018-11-01 10:35:12.089999914,623349,52,2016,2018,False,2
88,88,29812,Sepatu,2014-07-24 22:51:11.423000097,2018-11-28 11:56:36.453000069,1132104,93,2014,2018,False,4
89,89,275141,Sepatu,2018-01-15 11:32:21.868000031,2018-12-20 05:58:59.767999887,1776608,39,2018,2018,False,0
90,90,74351,Sepatu,2016-08-11 04:03:18.239000082,2018-02-28 14:24:55.079999924,1663635,23,2016,2018,True,2
91,91,103743,Sepatu,2017-01-11 15:11:50.770999908,2018-06-09 15:07:17.838000059,1566360,37,2017,2018,True,1
92,92,95150,Jaket,2017-05-25 05:04:38.891000032,2019-01-19 06:03:17.170000076,2281777,25,2017,2019,False,2
93,93,95150,Sepatu,2016-09-02 05:00:17.513999938,2019-01-21 15:16:47.898000002,2085960,46,2016,2019,False,3
94,94,100594,Sepatu,2016-10-08 10:39:16.444999933,2018-09-23 08:07:13.530999899,684194,26,2016,2018,False,2
95,95,78512,Jaket,2016-09-11 02:17:07.417000055,2018-12-13 14:25:40.526999950,915744,23,2016,2018,False,2
96,96,78512,Tas,2017-01-31 04:03:35.049000025,2018-12-18 05:07:04.000000000,286890,26,2017,2018,False,1
97,97,131985,Sepatu,2017-04-06 00:42:21.911999941,2019-01-12 08:07:28.486000061,1130765,44,2017,2019,False,2
98,98,55591,Sepatu,2016-03-09 15:22:15.489000082,2018-03-02 13:13:37.243000031,2031853,33,2016,2018,True,2
99,99,117023,Sepatu,2017-02-01 06:33:21.437000036,2018-10-05 09:43:53.447999954,898272,52,2017,2018,False,1
100,100,117023,Jaket,2017-01-05 00:25:06.851999998,2018-05-25 08:22:30.967000008,920580,38,2017,2018,True,1
101,101,155669,Sepatu,2017-06-27 13:33:27.374000072,2019-01-27 05:51:48.069999933,1681108,137,2017,2019,False,2
